Height Pressure Rho
5.000000e+04 1.200000e+05 1.824822e+00
5.005005e+04 1.187415e+05 1.807218e+00
5.010010e+04 1.174963e+05 1.789785e+00
5.015015e+04 1.162640e+05 1.772522e+00
5.020020e+04 1.150448e+05 1.755426e+00
5.025025e+04 1.138382e+05 1.738497e+00
5.030030e+04 1.126444e+05 1.721732e+00
5.035035e+04 1.114631e+05 1.705130e+00
5.040040e+04 1.102941e+05 1.688690e+00
5.045045e+04 1.091374e+05 1.672409e+00
5.050050e+04 1.079929e+05 1.656286e+00
5.055055e+04 1.068603e+05 1.640320e+00
5.060060e+04 1.057397e+05 1.624509e+00
5.065065e+04 1.046307e+05 1.608851e+00
5.070070e+04 1.035335e+05 1.593346e+00
5.075075e+04 1.024477e+05 1.577991e+00
5.080080e+04 1.013733e+05 1.562786e+00
5.085085e+04 1.003101e+05 1.547728e+00
5.090090e+04 9.925817e+04 1.532816e+00
5.095095e+04 9.821722e+04 1.518049e+00
5.100100e+04 9.718720e+04 1.503426e+00
5.105105e+04 9.616797e+04 1.488944e+00
5.110110e+04 9.515943e+04 1.474603e+00
5.115115e+04 9.416147e+04 1.460401e+00
5.120120e+04 9.317397e+04 1.446338e+00
5.125125e+04 9.219683e+04 1.432410e+00
5.130130e+04 9.122994e+04 1.418618e+00
5.135135e+04 9.027319e+04 1.404960e+00
5.140140e+04 8.932647e+04 1.391434e+00
5.145145e+04 8.838968e+04 1.378039e+00
5.150150e+04 8.746271e+04 1.364775e+00
5.155155e+04 8.654547e+04 1.351639e+00
5.160160e+04 8.563784e+04 1.338630e+00
5.165165e+04 8.473974e+04 1.325748e+00
5.170170e+04 8.385105e+04 1.312991e+00
5.175175e+04 8.297168e+04 1.300358e+00
5.180180e+04 8.210154e+04 1.287847e+00
5.185185e+04 8.124052e+04 1.275457e+00
5.190190e+04 8.038853e+04 1.263188e+00
5.195195e+04 7.954547e+04 1.251037e+00
5.200200e+04 7.871126e+04 1.239005e+00
5.205205e+04 7.788579e+04 1.227089e+00
5.210210e+04 7.706898e+04 1.215288e+00
5.215215e+04 7.626074e+04 1.203602e+00
5.220220e+04 7.546097e+04 1.192030e+00
5.225225e+04 7.466960e+04 1.180569e+00
5.230230e+04 7.388652e+04 1.169220e+00
5.235235e+04 7.311165e+04 1.157980e+00
5.240240e+04 7.234491e+04 1.146850e+00
5.245245e+04 7.158621e+04 1.135827e+00
5.250250e+04 7.083547e+04 1.124911e+00
5.255255e+04 7.009260e+04 1.114101e+00
5.260260e+04 6.935752e+04 1.103396e+00
5.265265e+04 6.863015e+04 1.092795e+00
5.270270e+04 6.791040e+04 1.082296e+00
5.275275e+04 6.719821e+04 1.071899e+00
5.280280e+04 6.649348e+04 1.061602e+00
5.285285e+04 6.579615e+04 1.051406e+00
5.290290e+04 6.510613e+04 1.041308e+00
5.295295e+04 6.442334e+04 1.031308e+00
5.300300e+04 6.374772e+04 1.021405e+00
5.305305e+04 6.307918e+04 1.011597e+00
5.310310e+04 6.241765e+04 1.001885e+00
5.315315e+04 6.176306e+04 9.922668e-01
5.320320e+04 6.111534e+04 9.827417e-01
5.325325e+04 6.047440e+04 9.733087e-01
5.330330e+04 5.984019e+04 9.639671e-01
5.335335e+04 5.921263e+04 9.547159e-01
5.340340e+04 5.859166e+04 9.455543e-01
5.345345e+04 5.797719e+04 9.364813e-01
5.350350e+04 5.736917e+04 9.274962e-01
5.355355e+04 5.676752e+04 9.185980e-01
5.360360e+04 5.617219e+04 9.097859e-01
5.365365e+04 5.558309e+04 9.010591e-01
5.370370e+04 5.500018e+04 8.924167e-01
5.375375e+04 5.442338e+04 8.838579e-01
5.380380e+04 5.385263e+04 8.753820e-01
5.385385e+04 5.328786e+04 8.669880e-01
5.390390e+04 5.272902e+04 8.586753e-01
5.395395e+04 5.217603e+04 8.504429e-01
5.400400e+04 5.162885e+04 8.422902e-01
5.405405e+04 5.108741e+04 8.342163e-01
5.410410e+04 5.055164e+04 8.262205e-01
5.415415e+04 5.002149e+04 8.183020e-01
5.420420e+04 4.949690e+04 8.104601e-01
5.425425e+04 4.897781e+04 8.026939e-01
5.430430e+04 4.846417e+04 7.950029e-01
5.435435e+04 4.795592e+04 7.873863e-01
5.440440e+04 4.745299e+04 7.798432e-01
5.445445e+04 4.695534e+04 7.723731e-01
5.450450e+04 4.646290e+04 7.649751e-01
5.455455e+04 4.597564e+04 7.576487e-01
5.460460e+04 4.549348e+04 7.503931e-01
5.465465e+04 4.501638e+04 7.432076e-01
5.470470e+04 4.454428e+04 7.360915e-01
5.475475e+04 4.407713e+04 7.290441e-01
5.480480e+04 4.361488e+04 7.220649e-01
5.485485e+04 4.315748e+04 7.151531e-01
5.490490e+04 4.270488e+04 7.083080e-01
5.495495e+04 4.225702e+04 7.015291e-01
5.500501e+04 4.181386e+04 6.948156e-01
5.505506e+04 4.137535e+04 6.881670e-01
5.510511e+04 4.094143e+04 6.815826e-01
5.515516e+04 4.051207e+04 6.750618e-01
5.520521e+04 4.008721e+04 6.686039e-01
5.525526e+04 3.966680e+04 6.622084e-01
5.530531e+04 3.925081e+04 6.558746e-01
5.535536e+04 3.883917e+04 6.496020e-01
5.540541e+04 3.843186e+04 6.433899e-01
5.545546e+04 3.802881e+04 6.372378e-01
5.550551e+04 3.762999e+04 6.311450e-01
5.555556e+04 3.723536e+04 6.251111e-01
5.560561e+04 3.684486e+04 6.191354e-01
5.565566e+04 3.645846e+04 6.132174e-01
5.570571e+04 3.607611e+04 6.073564e-01
5.575576e+04 3.569777e+04 6.015520e-01
5.580581e+04 3.532340e+04 5.958036e-01
5.585586e+04 3.495295e+04 5.901107e-01
5.590591e+04 3.458639e+04 5.844727e-01
5.595596e+04 3.422368e+04 5.788890e-01
5.600601e+04 3.386476e+04 5.733592e-01
5.605606e+04 3.350962e+04 5.678828e-01
5.610611e+04 3.315819e+04 5.624591e-01
5.615616e+04 3.281045e+04 5.570878e-01
5.620621e+04 3.246636e+04 5.517682e-01
5.625626e+04 3.212588e+04 5.464999e-01
5.630631e+04 3.178897e+04 5.412825e-01
5.635636e+04 3.145559e+04 5.361153e-01
5.640641e+04 3.112570e+04 5.309979e-01
5.645646e+04 3.079928e+04 5.259298e-01
5.650651e+04 3.047628e+04 5.209106e-01
5.655656e+04 3.015667e+04 5.159398e-01
5.660661e+04 2.984041e+04 5.110168e-01
5.665666e+04 2.952746e+04 5.061413e-01
5.670671e+04 2.921780e+04 5.013128e-01
5.675676e+04 2.891139e+04 4.965308e-01
5.680681e+04 2.860818e+04 4.917948e-01
5.685686e+04 2.830816e+04 4.871045e-01
5.690691e+04 2.801129e+04 4.824594e-01
5.695696e+04 2.771753e+04 4.778590e-01
5.700701e+04 2.742685e+04 4.733029e-01
5.705706e+04 2.713921e+04 4.687906e-01
5.710711e+04 2.685460e+04 4.643218e-01
5.715716e+04 2.657297e+04 4.598961e-01
5.720721e+04 2.629429e+04 4.555129e-01
5.725726e+04 2.601853e+04 4.511720e-01
5.730731e+04 2.574567e+04 4.468728e-01
5.735736e+04 2.547567e+04 4.426150e-01
5.740741e+04 2.520850e+04 4.383982e-01
5.745746e+04 2.494413e+04 4.342220e-01
5.750751e+04 2.468254e+04 4.300860e-01
5.755756e+04 2.442368e+04 4.259898e-01
5.760761e+04 2.416755e+04 4.219330e-01
5.765766e+04 2.391409e+04 4.179152e-01
5.770771e+04 2.366330e+04 4.139360e-01
5.775776e+04 2.341514e+04 4.099952e-01
5.780781e+04 2.316958e+04 4.060922e-01
5.785786e+04 2.292659e+04 4.022268e-01
5.790791e+04 2.268615e+04 3.983986e-01
5.795796e+04 2.244824e+04 3.946072e-01
5.800801e+04 2.221282e+04 3.908522e-01
5.805806e+04 2.197987e+04 3.871333e-01
5.810811e+04 2.174936e+04 3.834502e-01
5.815816e+04 2.152127e+04 3.798025e-01
5.820821e+04 2.129557e+04 3.761899e-01
5.825826e+04 2.107224e+04 3.726120e-01
5.830831e+04 2.085125e+04 3.690685e-01
5.835836e+04 2.063257e+04 3.655590e-01
5.840841e+04 2.041619e+04 3.620833e-01
5.845846e+04 2.020208e+04 3.586409e-01
5.850851e+04 1.999022e+04 3.552317e-01
5.855856e+04 1.978058e+04 3.518551e-01
5.860861e+04 1.957313e+04 3.485111e-01
5.865866e+04 1.936786e+04 3.451991e-01
5.870871e+04 1.916475e+04 3.419190e-01
5.875876e+04 1.896376e+04 3.386703e-01
5.880881e+04 1.876489e+04 3.354529e-01
5.885886e+04 1.856809e+04 3.322664e-01
5.890891e+04 1.837336e+04 3.291104e-01
5.895896e+04 1.818068e+04 3.259848e-01
5.900901e+04 1.799001e+04 3.228892e-01
5.905906e+04 1.780135e+04 3.198233e-01
5.910911e+04 1.761466e+04 3.167868e-01
5.915916e+04 1.742993e+04 3.137794e-01
5.920921e+04 1.724714e+04 3.108010e-01
5.925926e+04 1.706626e+04 3.078511e-01
5.930931e+04 1.688728e+04 3.049295e-01
5.935936e+04 1.671018e+04 3.020359e-01
