Height Pressure Rho
0.000000e+00 1.200000e+05 1.824822e+00
5.005000e+01 1.187415e+05 1.807218e+00
1.001000e+02 1.174963e+05 1.789785e+00
1.501500e+02 1.162640e+05 1.772522e+00
2.002000e+02 1.150448e+05 1.755426e+00
2.502500e+02 1.138382e+05 1.738497e+00
3.003000e+02 1.126444e+05 1.721732e+00
3.503500e+02 1.114631e+05 1.705130e+00
4.004000e+02 1.102941e+05 1.688690e+00
4.504500e+02 1.091374e+05 1.672409e+00
5.005000e+02 1.079929e+05 1.656286e+00
5.505500e+02 1.068603e+05 1.640320e+00
6.006000e+02 1.057397e+05 1.624509e+00
6.506500e+02 1.046307e+05 1.608851e+00
7.007000e+02 1.035335e+05 1.593346e+00
7.507500e+02 1.024477e+05 1.577991e+00
8.008000e+02 1.013733e+05 1.562786e+00
8.508500e+02 1.003101e+05 1.547728e+00
9.009000e+02 9.925817e+04 1.532816e+00
9.509500e+02 9.821722e+04 1.518049e+00
1.001000e+03 9.718720e+04 1.503426e+00
1.051050e+03 9.616797e+04 1.488944e+00
1.101100e+03 9.515943e+04 1.474603e+00
1.151150e+03 9.416147e+04 1.460401e+00
1.201200e+03 9.317397e+04 1.446338e+00
1.251250e+03 9.219683e+04 1.432410e+00
1.301300e+03 9.122994e+04 1.418618e+00
1.351350e+03 9.027319e+04 1.404960e+00
1.401400e+03 8.932647e+04 1.391434e+00
1.451450e+03 8.838968e+04 1.378039e+00
1.501500e+03 8.746271e+04 1.364775e+00
1.551550e+03 8.654547e+04 1.351639e+00
1.601600e+03 8.563784e+04 1.338630e+00
1.651650e+03 8.473974e+04 1.325748e+00
1.701700e+03 8.385105e+04 1.312991e+00
1.751750e+03 8.297168e+04 1.300358e+00
1.801800e+03 8.210154e+04 1.287847e+00
1.851850e+03 8.124052e+04 1.275457e+00
1.901900e+03 8.038853e+04 1.263188e+00
1.951950e+03 7.954547e+04 1.251037e+00
2.002000e+03 7.871126e+04 1.239005e+00
